"Enabled","Aktiviert"
"Disabled","Deaktiviert"
"Newsletter Users Groups","Newsletter Benutzergruppen"
"Thank you for your subscription","Vielen Dank, dass Sie unsere Newsletter abonniert haben!"
"Item does not exist","Artikel existiert nicht"
"Group was successfully created/edited","Gruppe erfolgreich angelegt/bearbeitet"
"Unable to find item to save","Artikel zum Speichern nicht gefunden"
"Item was successfully deleted","Artikel erfolgreich gelöscht"
"Please select item(s)","Bitte Artikel auswählen"
"Newsletter Groups","Newslettergruppen"
"Add Group","Gruppe hinzufügen"
"Title","Titel"
"Creation Time","Erstellungszeit"
"Action","Action"
"Edit","Bearbeiten"
"Are you sure?","Sind Sie sicher?"
"Delete","Löschen"
"Save Item","Änderungen speichern"
"Delete Item","Atikel löschen"
"Edit Item '%s'","Artikel '%s' bearbeiten"
"Add Item","Artikel hinzufügen"
"Item Information","Informationen Über den Gruppe"
"Group Information","Ingormationen Über die Gruppe"
"Subscribers in Group","Gruppenabonnenten"
"Add Subscribers to Group","Abonnenten zur Gruppe hinzufügen"
"Visibility on Frontend","Sichtbarkeit auf Frontend"
"Add Subscribers emails","E-mails von Abonnenten hinzufügen"
"Template for Subscribers Group","Template für Abonnentengruppe"
"Selected Subscribers will be deleted from Group after save","Ausgewählte Abonnenten werden aus der Gruppe nach dem Speichern gelöscht"